id,text,label,label_txt
1,Something to keep in mind... When situations like HASHTAG occursome lowlifes set up fake donation accounts and pocket the money so IF you are going to donate... Do some PROPER research first!  URL,1,['disgust']
2,I'm really sorry about a whole history of 850 years. HASHTAG,4,['sadness']
3,The kid in me is sobbing at all the Hunchback of Notre Dame drawings in reference to the Cathedral fire  HASHTAG HASHTAG,4,['sadness']
4,HASHTAG April30 New thread to share. A large group of bikers parades near the Presidential Palace to defend the government from the US orchestrated Coup.  Venezuela HASHTAG  URL,6,['others']
5,It’s World Book Day and a great day to visit the new USER Capitol View Library.  There’s plenty of time! The library is open until 9 pm. HASHTAG HASHTAG  URL,3,['joy']
6,Celebrate HASHTAG with a pop quiz. How many children are impacted each week by Right To Play programs around the world? HASHTAG HASHTAG,3,['joy']
7,The most brilliant tactical battle I have seen in recent years. Klopp's trying to compress the field with pressing and Barca trying to win it back by expanding the field!  HASHTAG HASHTAG,3,['joy']
8,Who’s winning tonight?    USER vs USER Tonight HASHTAG fixtures. Tune into HASHTAG at 12:30 am. HASHTAG  URL,6,['others']
9,Our posters HASHTAG were the opportunity for discussion with 2 groups of young people 15 then 14 years on the HASHTAG HASHTAG HASHTAG's book and our proposals HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,6,['others']
10,Season 8 episode 3 ... Epic .. but makes me feel the rest of the season is boring HASHTAG,6,['others']
11,HASHTAG HASHTAG HASHTAG this episode was freaking amazing.… HASHTAG URL,3,['joy']
12,Barca officially champions of HASHTAG 2019,3,['joy']
13,Who makes these up? Shocking. No respect for the catastrophe that just happened. I suspect they will go to Hell. they will be prodded by pitchforks for eternity Baby Jesus did not die on the cross to save all sinners for them to be so disrespectful  HASHTAG  URL,6,['others']
14,HASHTAG is a very sad news. But it raises the question of  the value of HASHTAG.     URL ACCOUNTING FOR HERITAGE ASSETS USER HASHTAG HASHTAG HASHTAG HASHTAG,4,['sadness']
15,It's always a tragedy to see a valuable piece of history get destroyed. People celebrating this as some kind of political victory are psychotic. HASHTAG,1,['disgust']
16,In honor of HASHTAG how about this one? HASHTAG? by HASHTAG. An eye opening read. This book provides a comprehensive collection of every aspect of what happened that day. Read it alone and absorb everything.  URL,3,['joy']
